route,code_1,code_2,airport_1,airport_2,DepCountry,ArrCountry,DepAirport,ArrAirport,lat_1,long_1,lat_2,long_2,distance,EmissionsKgsCO2e
79,CHT,CHC,Chatham Islands,Christchurch,New Zealand,New Zealand,Chatham Islands (CHT),Christchurch (CHC),-43.9514,-176.5611,-43.531,172.6365,888,172.272
80,WLG,AKL,Wellington,Auckland,New Zealand,New Zealand,Wellington (WLG),Auckland (AKL),-41.2889,174.7772,-36.8406,174.74,479,92.926
81,WLG,HLZ,Wellington,Hamilton,New Zealand,New Zealand,Wellington (WLG),Hamilton (HLZ),-41.2889,174.7772,-37.7833,175.2833,387,75.078
82,WLG,TRG,Wellington,Tauranga,New Zealand,New Zealand,Wellington (WLG),Tauranga (TRG),-41.2889,174.7772,-37.6833,176.1667,423,82.062
83,WLG,ROT,Wellington,Rotorua,New Zealand,New Zealand,Wellington (WLG),Rotorua (ROT),-41.2889,174.7772,-38.1378,176.2514,380,73.72
84,WLG,GIS,Wellington,Gisborne,New Zealand,New Zealand,Wellington (WLG),Gisborne (GIS),-41.2889,174.7772,-38.6625,178.0178,401,77.794
85,WLG,NPL,Wellington,New Plymouth,New Zealand,New Zealand,Wellington (WLG),New Plymouth (NPL),-41.2889,174.7772,-39.0578,174.0742,263,51.022
86,WLG,NPE,Wellington,Napier,New Zealand,New Zealand,Wellington (WLG),Napier (NPE),-41.2889,174.7772,-39.4903,176.9178,271,52.574
87,WLG,CHT,Wellington,Chatham Islands,New Zealand,New Zealand,Wellington (WLG),Chatham Islands (CHT),-41.2889,174.7772,-43.9514,-176.5611,768,148.992
88,WLG,NSN,Wellington,Nelson,New Zealand,New Zealand,Wellington (WLG),Nelson (NSN),-41.2889,174.7772,-41.2708,173.2839,133,25.802
89,WLG,PCN,Wellington,Picton,New Zealand,New Zealand,Wellington (WLG),Picton (PCN),-41.2889,174.7772,-41.2907,174.0056,71,13.774
90,WLG,BHE,Wellington,Blenheim,New Zealand,New Zealand,Wellington (WLG),Blenheim (BHE),-41.2889,174.7772,-41.514,173.96,81,15.714
91,WLG,CHC,Wellington,Christchurch,New Zealand,New Zealand,Wellington (WLG),Christchurch (CHC),-41.2889,174.7772,-43.531,172.6365,304,58.976
92,WLG,TIU,Wellington,Timaru,New Zealand,New Zealand,Wellington (WLG),Timaru (TIU),-41.2889,174.7772,-44.3931,171.2508,442,85.748
93,WLG,ZQN,Wellington,Queenstown,New Zealand,New Zealand,Wellington (WLG),Queenstown (ZQN),-41.2889,174.7772,-45.031162,168.662643,641,124.354
94,WLG,DUD,Wellington,Dunedin,New Zealand,New Zealand,Wellington (WLG),Dunedin (DUD),-41.2889,174.7772,-45.8742,170.5036,632,122.608
95,WHK,AKL,Whakatane,Auckland,New Zealand,New Zealand,Whakatane (WHK),Auckland (AKL),-37.96,176.98,-36.8406,174.74,213,41.322
96,WAG,AKL,Whanganui,Auckland,New Zealand,New Zealand,Whanganui (WAG),Auckland (AKL),-39.9331,175.0286,-36.8406,174.74,329,63.826
97,WAG,PPQ,Whanganui,Paraparaumu,New Zealand,New Zealand,Whanganui (WAG),Paraparaumu (PPQ),-39.9331,175.0286,-40.9144,175.0056,105,20.37
98,WRE,AKL,Whangarei,Auckland,New Zealand,New Zealand,Whangarei (WRE),Auckland (AKL),-35.725,174.3236,-36.8406,174.74,143,27.742
